　疾速追杀：芭蕾杀姬,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/5739/疾速追杀：芭蕾杀姬-2025_HD中英双字.mp4
　腓尼基计划,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8623/腓尼基计划-2025_HD英语中字.mp4
　白日之下,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/1513/白日之下-2023_BD国粤双语中字.mp4
　人生开门红,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/4389/人生开门红-2025_HD国语中字.mp4
　我的世界大电影,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/9981/我的世界大电影-2025_BD国粤英三语中英双字.mp4
　猎金&middot;游戏,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/1110/猎金·游戏-2025_HD国语中英双字.mp4
　白雪公主,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/1701/白雪公主-2025_BD国英双语中英双字.mp4
　大风杀,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/9028/大风杀-2025_HD国语中英双字.mp4
　秋日何时来,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/2449/秋日何时来-2024_BD法语中字.mp4
　阳光照耀青春里,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/3382/阳光照耀青春里-2025_HD国语中英双字.mp4
　还有明天,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8033/还有明天-2023_BD国意双语中字.mp4
　冲&middot;撞,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/9541/冲·撞-2025_HD国语中英双字.mp4
　彼得罗夫的流感,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/8427/彼得罗夫的流感-2021_BD中英双字.mp4
　Predator: Killer of Killers,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/6109/铁血战士：杀戮之王-2025_HD中英双字.mp4
　仙逆剧场版 神临之战,jianpian://pathtype=url&path=ftp://a.gbl.114s.com:20320/0317/仙逆剧场版 神临之战-2025_HD国语中字.mp4
